# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
38	0.625	0.001152006614
38	0.660714	0.001131869366
38	0.696429	0.001026518359
38	0.732143	0.001032561284
38	0.767857	0.001076129844
38	0.803571	0
38	0.839286	0
38	0.875	0
38	0.910714	0
38	0.946429	0

40	0.267857	0.0005620597368
40	0.303571	0.0008896577012
40	0.339286	0.001173776196
40	0.375	0.001404933251
40	0.410714	0.001557737691
40	0.446429	0.001659537523
40	0.482143	0.001695236681
40	0.517857	0.001575213432
40	0.553571	0.001473121107
40	0.589286	0.001326561907
40	0.625	0.001152006614
40	0.660714	0.001131869366
40	0.696429	0.001026518359
40	0.732143	0.001032561284
40	0.767857	0.001076129844
40	0.803571	0
40	0.839286	0
40	0.875	0
40	0.910714	0
40	0.946429	0

42	0.267857	0.0005620597368
42	0.303571	0.0008896577012
42	0.339286	0.001173776196
42	0.375	0.001404933251
42	0.410714	0.001557737691
42	0.446429	0.001659537523
42	0.482143	0.001695236681
42	0.517857	0.001575213432
42	0.553571	0.001473121107
42	0.589286	0.001326561907
42	0.625	0.001152006614
42	0.660714	0.001131869366
42	0.696429	0.001026518359
42	0.732143	0.001032561284
42	0.767857	0.001076129844
42	0.803571	0
42	0.839286	0
42	0.875	0
42	0.910714	0
42	0.946429	0

44	0.267857	0.0005620597368
44	0.303571	0.0008896577012
44	0.339286	0.001173776196
44	0.375	0.001404933251
44	0.410714	0.001557737691
44	0.446429	0.001659537523
44	0.482143	0.001695236681
44	0.517857	0.001575213432
44	0.553571	0.001473121107
44	0.589286	0.001326561907
44	0.625	0.001152006614
44	0.660714	0.001131869366
44	0.696429	0.001026518359
44	0.732143	0.001032561284
44	0.767857	0.001076129844
44	0.803571	0
44	0.839286	0
44	0.875	0
44	0.910714	0
44	0.946429	0

46	0.267857	0.0005620597368
46	0.303571	0.0008896577012
46	0.339286	0.001173776196
46	0.375	0.001404933251
46	0.410714	0.001557737691
46	0.446429	0.001659537523
46	0.482143	0.001695236681
46	0.517857	0.001575213432
46	0.553571	0.001473121107
46	0.589286	0.001326561907
46	0.625	0.001152006614
46	0.660714	0.001131869366
46	0.696429	0.001026518359
46	0.732143	0.001032561284
46	0.767857	0.001076129844
46	0.803571	0
46	0.839286	0
46	0.875	0
46	0.910714	0
46	0.946429	0

48	0.267857	0.0005620597368
48	0.303571	0.0008896577012
48	0.339286	0.001173776196
48	0.375	0.001404933251
48	0.410714	0.001557737691
48	0.446429	0.001659537523
48	0.482143	0.001695236681
48	0.517857	0.001575213432
48	0.553571	0.001473121107
48	0.589286	0.001326561907
48	0.625	0.001152006614
48	0.660714	0.001131869366
48	0.696429	0.001026518359
48	0.732143	0.001032561284
48	0.767857	0.001076129844
48	0.803571	0
48	0.839286	0
48	0.875	0
48	0.910714	0
48	0.946429	0

50	0.267857	0.0005620597368
50	0.303571	0.0008896577012
50	0.339286	0.001173776196
50	0.375	0.001404933251
50	0.410714	0.001557737691
50	0.446429	0.001659537523
50	0.482143	0.001695236681
50	0.517857	0.001575213432
50	0.553571	0.001473121107
50	0.589286	0.001326561907
50	0.625	0.001152006614
50	0.660714	0.001131869366
50	0.696429	0.001026518359
50	0.732143	0.001032561284
50	0.767857	0.001076129844
50	0.803571	0
50	0.839286	0
50	0.875	0
50	0.910714	0
50	0.946429	0

52	0.267857	0.0005620597368
52	0.303571	0.0008896577012
52	0.339286	0.001173776196
52	0.375	0.001404933251
52	0.410714	0.001557737691
52	0.446429	0.001659537523
52	0.482143	0.001695236681
52	0.517857	0.001575213432
52	0.553571	0.001473121107
52	0.589286	0.001326561907
52	0.625	0.001152006614
52	0.660714	0.001131869366
52	0.696429	0.001026518359
52	0.732143	0.001032561284
52	0.767857	0.001076129844
52	0.803571	0
52	0.839286	0
52	0.875	0
52	0.910714	0
52	0.946429	0

54	0.267857	0.0005620597368
54	0.303571	0.0008896577012
54	0.339286	0.001173776196
54	0.375	0.001404933251
54	0.410714	0.001557737691
54	0.446429	0.001659537523
54	0.482143	0.001695236681
54	0.517857	0.001575213432
54	0.553571	0.001473121107
54	0.589286	0.001326561907
54	0.625	0.001152006614
54	0.660714	0.001131869366
54	0.696429	0.001026518359
54	0.732143	0.001032561284
54	0.767857	0.001076129844
54	0.803571	0
54	0.839286	0
54	0.875	0
54	0.910714	0
54	0.946429	0

56	0.267857	0.0005620597368
56	0.303571	0.0008896577012
56	0.339286	0.001173776196
56	0.375	0.001404933251
56	0.410714	0.001557737691
56	0.446429	0.001659537523
56	0.482143	0.001695236681
56	0.517857	0.001575213432
56	0.553571	0.001473121107
56	0.589286	0.001326561907
56	0.625	0.001152006614
56	0.660714	0.001131869366
56	0.696429	0.001026518359
56	0.732143	0.001032561284
56	0.767857	0.001076129844
56	0.803571	0
56	0.839286	0
56	0.875	0
56	0.910714	0
56	0.946429	0

58	0.267857	0.0005620597368
58	0.303571	0.0008896577012
58	0.339286	0.001173776196
58	0.375	0.001404933251
58	0.410714	0.001557737691
58	0.446429	0.001659537523
58	0.482143	0.001695236681
58	0.517857	0.001575213432
58	0.553571	0.001473121107
58	0.589286	0.001326561907
