#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
1.2750000000e+03     1.2973757888e-09    1.9872270165e-10    1.0986530872e-09
1.2800000000e+03     3.9816876937e-08    2.5487538422e-08    1.4329338515e-08
1.2850000000e+03     6.2424109606e-10    2.0312080981e-10    4.2112028625e-10
1.2900000000e+03     5.0021388312e-09    3.2684894177e-09    1.7336494135e-09
1.2950000000e+03     1.0263193400e-09    2.6130048483e-10    7.6501885520e-10
1.3000000000e+03     8.5270368761e-09    3.7869419305e-10    8.1483426831e-09
1.3050000000e+03     9.4988825200e-09    3.6086971361e-10    9.1380128064e-09
1.3100000000e+03     7.7538251130e-08    8.9193894841e-11    7.7449057235e-08
1.3150000000e+03     5.0106216294e-07    1.5052864860e-10    5.0091163429e-07
1.3200000000e+03     6.9899734219e-09    2.0800641417e-09    4.9099092802e-09
1.3250000000e+03     1.8979111343e-09    1.2138680334e-09    6.8404310085e-10
1.3300000000e+03     3.7216838744e-09    2.6523639359e-09    1.0693199385e-09
1.3350000000e+03     1.1001592726e-08    8.0615222538e-09    2.9400704720e-09
1.3400000000e+03     5.8117918512e-10    8.5317180924e-11    4.9586200420e-10
1.3450000000e+03     2.3021697657e-09    7.0523789435e-10    1.5969318713e-09
1.3500000000e+03     3.1743227165e-08    1.0900981244e-09    3.0653129041e-08
1.3550000000e+03     1.0075083280e-09    8.7057145730e-11    9.2045118231e-10
1.3600000000e+03     2.1186549036e-09    1.2612742363e-09    8.5738066734e-10
1.3650000000e+03     1.7263261662e-09    3.0438493312e-10    1.4219412331e-09
1.3700000000e+03     6.6102523154e-10    2.8149489263e-10    3.7953033891e-10
1.3750000000e+03     1.8609285421e-09    6.2474633389e-11    1.7984539087e-09
1.3800000000e+03     7.1387407700e-10    1.1443030735e-10    5.9944376964e-10
1.3850000000e+03     7.0900915578e-10    3.9380124921e-10    3.1520790658e-10
1.3900000000e+03     1.0064939278e-09    3.4956462623e-10    6.5692930161e-10
1.3950000000e+03     4.5574378290e-10    6.5175535383e-11    3.9056824752e-10
1.4000000000e+03     3.9399125582e-07    1.7941677750e-10    3.9381183904e-07
1.4050000000e+03     7.2467315576e-10    1.2266367483e-10    6.0200948093e-10
1.4100000000e+03     7.6070017355e-10    1.1789096490e-10    6.4280920865e-10
1.4150000000e+03     2.8675186893e-09    1.4890606117e-09    1.3784580776e-09
1.4200000000e+03     3.7241806814e-10    5.7706077672e-11    3.1471199047e-10
1.4250000000e+03     1.0322243968e-09    1.1239502625e-10    9.1982937051e-10
1.4300000000e+03     8.8860016588e-10    5.6008605636e-10    3.2851410952e-10
1.4350000000e+03     3.5785361227e-10    1.5267439953e-10    2.0517921274e-10
1.4400000000e+03     1.5045064329e-09    6.5917118841e-11    1.4385893140e-09
1.4450000000e+03     3.7932475693e-10    9.8301812425e-11    2.8102294451e-10
1.4500000000e+03     1.2846850514e-08    9.3853986951e-09    3.4614518193e-09
1.4550000000e+03     1.4491608727e-09    6.0988282702e-10    8.3927804573e-10
1.4600000000e+03     1.7096618513e-07    2.4655529163e-10    1.7071962984e-07
1.4650000000e+03     5.1157303740e-09    2.9642709707e-09    2.1514594033e-09
1.4700000000e+03     2.1663847568e-09    7.9395558179e-10    1.3724291750e-09
1.4750000000e+03     6.3906875320e-10    1.7571431594e-10    4.6335443727e-10
1.4800000000e+03     9.6545063886e-10    4.9395732918e-10    4.7149330968e-10
1.4850000000e+03     2.6941794292e-10    7.3682249401e-11    1.9573569352e-10
1.4900000000e+03     2.0792241656e-10    4.6779311636e-11    1.6114310493e-10
1.4950000000e+03     1.7221654078e-09    4.7626377462e-11    1.6745390304e-09
1.5000000000e+03     5.0258893588e-10    7.0493578490e-11    4.3209535739e-10
1.5050000000e+03     1.2629345767e-09    8.0108093176e-10    4.6185364495e-10
1.5100000000e+03     1.6650647755e-07    1.3859781069e-07    2.7908666859e-08
1.5150000000e+03     4.6045388720e-10    2.3754781649e-10    2.2290607071e-10
1.5200000000e+03     9.6631062756e-10    5.2729176167e-10    4.3901886589e-10
1.5250000000e+03     3.7195483312e-10    1.9713531890e-10    1.7481951422e-10
1.5300000000e+03     7.2827976303e-10    1.4005431501e-10    5.8822544802e-10
1.5350000000e+03     6.7243266714e-10    3.3146539901e-10    3.4096726812e-10
1.5400000000e+03     1.7383952236e-08    7.9012179993e-10    1.6593830436e-08
1.5450000000e+03     1.1473964037e-09    1.0247739014e-10    1.0449190136e-09
1.5500000000e+03     4.5691267969e-09    3.2140727247e-09    1.3550540722e-09
1.5550000000e+03     5.2753811953e-09    2.0668764858e-10    5.0686935468e-09
1.5600000000e+03     3.6276953904e-10    8.2194967177e-11    2.8057457187e-10
1.5650000000e+03     7.2432284438e-10    2.2699597763e-10    4.9732686676e-10
1.5700000000e+03     1.8754424827e-09    4.6104625708e-10    1.4143962256e-09
1.5750000000e+03     1.6277469037e-08    8.4301084448e-11    1.6193167952e-08
1.5800000000e+03     1.7283953250e-09    1.7288820610e-10    1.5555071189e-09
1.5850000000e+03     2.6726547672e-09    5.1774576346e-10    2.1549090038e-09
1.5900000000e+03     2.8242569084e-10    9.0145649633e-11    1.9228004121e-10
1.5950000000e+03     4.1226449009e-06    7.4399588604e-10    4.1219009050e-06
1.6000000000e+03     2.5922682604e-08    1.9294450535e-10    2.5729738099e-08
1.6050000000e+03     3.3230182459e-10    1.1853977297e-10    2.1376205162e-10
1.6100000000e+03     2.3115674398e-09    1.7276683597e-09    5.8389908012e-10
1.6150000000e+03     1.6473065044e-09    6.1704998706e-10    1.0302565173e-09
1.6200000000e+03     1.6161405294e-09    5.1343828812e-10    1.1027022412e-09
1.6250000000e+03     2.5905246184e-09    1.9785933067e-09    6.1193131172e-10
1.6300000000e+03     3.0200523694e-08    9.2942540997e-11    3.0107581153e-08
1.6350000000e+03     1.0202336482e-09    3.2145839862e-10    6.9877524960e-10
1.6400000000e+03     2.9922810484e-10    4.2105383146e-11    2.5712272170e-10
1.6450000000e+03     6.3495656671e-10    3.6298848890e-11    5.9865771782e-10
1.6500000000e+03     2.7134523940e-10    3.8219076021e-11    2.3312616338e-10
1.6550000000e+03     2.8956971181e-10    5.9073881598e-11    2.3049583021e-10
1.6600000000e+03     5.0190587600e-09    1.5094278713e-09    3.5096308887e-09
1.6650000000e+03     3.7031205538e-10    8.8233162484e-11    2.8207889289e-10
1.6700000000e+03     2.0072844793e-09    6.4972803764e-11    1.9423116755e-09
1.6750000000e+03     1.6800691535e-09    1.1635331125e-09    5.1653604099e-10
1.6800000000e+03     4.9897442426e-10    8.2744801147e-11    4.1622962311e-10
1.6850000000e+03     5.7412218296e-09    4.4386212003e-11    5.6968356176e-09
1.6900000000e+03     2.5050411112e-10    4.4974806302e-11    2.0552930482e-10
1.6950000000e+03     2.5170333237e-09    8.8335588374e-10    1.6336774399e-09
1.7000000000e+03     1.3628032071e-09    9.2302597262e-10    4.3977723450e-10
1.7050000000e+03     2.8119631181e-08    2.1732425623e-08    6.3872055577e-09
1.7100000000e+03     4.2016494821e-10    1.7779027232e-10    2.4237467589e-10
