#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
6.6500000000e+02     1.3090436275e-09    4.8488266896e-10    8.2416095853e-10
6.7000000000e+02     1.1746327851e-09    6.2517761319e-11    1.1121150238e-09
6.7500000000e+02     1.2189077634e-08    1.2498218051e-09    1.0939255829e-08
6.8000000000e+02     9.4688923604e-09    9.3667193158e-10    8.5322204288e-09
6.8500000000e+02     1.1873315214e-09    1.4095743715e-10    1.0463740843e-09
6.9000000000e+02     4.0930738280e-10    1.8024358634e-11    3.9128302417e-10
6.9500000000e+02     1.3355519818e-08    6.0505959344e-10    1.2750460224e-08
7.0000000000e+02     1.1120792436e-10    2.8885054678e-11    8.2322869680e-11
7.0500000000e+02     4.7920440777e-09    6.6129267372e-10    4.1307514040e-09
7.1000000000e+02     4.0472938159e-10    3.4126396665e-11    3.7060298492e-10
7.1500000000e+02     8.5437383672e-08    3.2688642445e-08    5.2748741227e-08
7.2000000000e+02     5.8997080773e-09    6.5408907032e-11    5.8342991703e-09
7.2500000000e+02     1.0207157451e-10    1.7962298875e-11    8.4109275637e-11
7.3000000000e+02     1.7772929647e-09    6.0448274398e-10    1.1728102208e-09
7.3500000000e+02     1.3081889803e-09    1.1025904415e-10    1.1979299361e-09
7.4000000000e+02     9.6923334708e-10    4.0251281308e-10    5.6672053400e-10
7.4500000000e+02     1.6148360116e-09    7.8272716592e-10    8.3210884564e-10
7.5000000000e+02     1.6797404602e-09    9.9124807203e-11    1.5806156530e-09
7.5500000000e+02     6.4441988395e-09    6.2470878260e-10    5.8194900569e-09
7.6000000000e+02     1.6381952125e-10    2.1353764049e-11    1.4246575720e-10
7.6500000000e+02     1.0878623473e-08    5.9884573841e-09    4.8901660892e-09
7.7000000000e+02     1.2326889429e-09    5.3507816566e-10    6.9761077724e-10
7.7500000000e+02     4.0851575962e-10    1.7858964061e-10    2.2992611902e-10
7.8000000000e+02     2.6897012084e-09    1.2518593124e-09    1.4378418960e-09
7.8500000000e+02     2.5818247300e-08    3.0890022981e-09    2.2729245002e-08
7.9000000000e+02     2.9828875332e-10    9.5119846746e-11    2.0316890658e-10
7.9500000000e+02     1.3503110081e-09    8.4014216071e-11    1.2662967920e-09
8.0000000000e+02     9.4803437120e-10    3.9145639725e-11    9.0888873148e-10
8.0500000000e+02     1.2874939556e-09    4.2369447728e-10    8.6379947828e-10
8.1000000000e+02     8.7523440023e-10    2.5629707063e-10    6.1893732960e-10
8.1500000000e+02     1.0849962861e-10    1.1083661090e-11    9.7415967523e-11
8.2000000000e+02     1.5147895834e-07    8.3367286916e-08    6.8111671426e-08
8.2500000000e+02     7.4048732396e-07    3.7342043849e-07    3.6706688547e-07
8.3000000000e+02     1.1302225853e-09    2.5698088818e-10    8.7324169711e-10
