#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
1.7625000000e+03     3.9457853613e-07    6.1639929896e-08    3.3293860623e-07
1.7750000000e+03     3.9583690219e-07    6.0792971552e-08    3.3504393064e-07
1.7875000000e+03     3.9824999719e-07    6.0093434053e-08    3.3815656314e-07
1.8000000000e+03     4.0158936079e-07    5.9551975642e-08    3.4203738514e-07
1.8125000000e+03     4.0570205776e-07    5.9329329651e-08    3.4637272811e-07
1.8250000000e+03     4.0976632678e-07    5.9122964606e-08    3.5064336217e-07
1.8375000000e+03     4.1355327039e-07    5.9090281505e-08    3.5446298888e-07
1.8500000000e+03     4.1668830536e-07    5.9230782697e-08    3.5745752266e-07
1.8625000000e+03     4.1897905727e-07    5.9596504011e-08    3.5938255326e-07
1.8750000000e+03     4.2016283245e-07    6.0069921774e-08    3.6009291067e-07
1.8875000000e+03     4.2035737080e-07    6.0698644563e-08    3.5965872623e-07
1.9000000000e+03     4.1975934967e-07    6.1471740453e-08    3.5828760922e-07
1.9125000000e+03     4.1868568678e-07    6.2376166450e-08    3.5630952033e-07
1.9250000000e+03     4.1752484298e-07    6.3397049924e-08    3.5412779305e-07
1.9375000000e+03     4.1667913031e-07    6.4518001017e-08    3.5216112929e-07
1.9500000000e+03     4.1650687096e-07    6.5721448612e-08    3.5078542234e-07
1.9625000000e+03     4.1727289644e-07    6.6988992270e-08    3.5028390417e-07
1.9750000000e+03     4.1911423288e-07    6.8301762340e-08    3.5081247054e-07
1.9875000000e+03     4.2202521348e-07    6.9640780458e-08    3.5238443303e-07
2.0000000000e+03     4.2586315423e-07    7.0987312840e-08    3.5487584139e-07
2.0125000000e+03     4.3037263694e-07    7.2323209119e-08    3.5804942782e-07
2.0250000000e+03     4.3536052440e-07    7.3734927476e-08    3.6162559693e-07
2.0375000000e+03     4.4025855490e-07    7.5046863260e-08    3.6521169164e-07
2.0500000000e+03     4.4473597986e-07    7.6251156285e-08    3.6848482358e-07
2.0625000000e+03     4.4857797002e-07    7.7384085274e-08    3.7119388475e-07
2.0750000000e+03     4.5159499045e-07    7.8434561494e-08    3.7316042896e-07
2.0875000000e+03     4.5370404892e-07    7.9393485397e-08    3.7431056352e-07
2.1000000000e+03     4.5493027751e-07    8.0253839252e-08    3.7467643826e-07
2.1125000000e+03     4.5539507462e-07    8.1010734889e-08    3.7438433973e-07
2.1250000000e+03     4.5529389618e-07    8.1661416500e-08    3.7363247968e-07
2.1375000000e+03     4.5486783995e-07    8.2205219549e-08    3.7266262041e-07
2.1500000000e+03     4.5437345056e-07    8.2643487653e-08    3.7172996290e-07
2.1625000000e+03     4.5411975720e-07    8.3028456761e-08    3.7109130044e-07
2.1750000000e+03     4.5429324122e-07    8.3348265394e-08    3.7094497583e-07
2.1875000000e+03     4.5490067833e-07    8.3495853680e-08    3.7140482465e-07
2.2000000000e+03     4.5614795966e-07    8.3560478286e-08    3.7258748138e-07
2.2125000000e+03     4.5807123310e-07    8.3551017662e-08    3.7452021543e-07
2.2250000000e+03     4.6064817808e-07    8.3477168220e-08    3.7717100986e-07
2.2375000000e+03     4.6380467336e-07    8.3349172400e-08    3.8045550096e-07
2.2500000000e+03     4.6758545922e-07    8.3299161708e-08    3.8428629751e-07
2.2625000000e+03     4.7151581311e-07    8.3094542063e-08    3.8842127104e-07
2.2750000000e+03     4.7566241734e-07    8.2926621708e-08    3.9273579563e-07
2.2875000000e+03     4.7967883297e-07    8.2686070652e-08    3.9699276232e-07
2.3000000000e+03     4.8345486135e-07    8.2441260908e-08    4.0101360044e-07
2.3125000000e+03     4.8681182818e-07    8.2200091074e-08    4.0461173710e-07
2.3250000000e+03     4.8959562900e-07    8.1969281878e-08    4.0762634712e-07
2.3375000000e+03     4.9169104011e-07    8.1754220983e-08    4.0993681913e-07
2.3500000000e+03     4.9303534869e-07    8.1558848599e-08    4.1147650009e-07
2.3625000000e+03     4.9362949872e-07    8.1385585215e-08    4.1224391351e-07
2.3750000000e+03     4.9354468611e-07    8.1235303600e-08    4.1230938251e-07
2.3875000000e+03     4.9292247445e-07    8.1107346344e-08    4.1181512810e-07
2.4000000000e+03     4.9196708817e-07    8.0999589019e-08    4.1096749915e-07
