# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
34	0.696429	0.001092939393
34	0.732143	0.001072095041
34	0.767857	0.001100610009
34	0.803571	0
34	0.839286	0
34	0.875	0
34	0.910714	0
34	0.946429	0

36	0.267857	0.0006111848792
36	0.303571	0.0009624684076
36	0.339286	0.001269668257
36	0.375	0.001540967477
36	0.410714	0.001734963401
36	0.446429	0.001863695015
36	0.482143	0.001912229279
36	0.517857	0.001784419664
36	0.553571	0.001667082009
36	0.589286	0.001491935019
36	0.625	0.001281431206
36	0.660714	0.001237279679
36	0.696429	0.001092939393
36	0.732143	0.001072095041
36	0.767857	0.001100610009
36	0.803571	0
36	0.839286	0
36	0.875	0
36	0.910714	0
36	0.946429	0

38	0.267857	0.0006111848792
38	0.303571	0.0009624684076
38	0.339286	0.001269668257
38	0.375	0.001540967477
38	0.410714	0.001734963401
38	0.446429	0.001863695015
38	0.482143	0.001912229279
38	0.517857	0.001784419664
38	0.553571	0.001667082009
38	0.589286	0.001491935019
38	0.625	0.001281431206
38	0.660714	0.001237279679
38	0.696429	0.001092939393
38	0.732143	0.001072095041
38	0.767857	0.001100610009
38	0.803571	0
38	0.839286	0
38	0.875	0
38	0.910714	0
38	0.946429	0

40	0.267857	0.0006111848792
40	0.303571	0.0009624684076
40	0.339286	0.001269668257
40	0.375	0.001540967477
40	0.410714	0.001734963401
40	0.446429	0.001863695015
40	0.482143	0.001912229279
40	0.517857	0.001784419664
40	0.553571	0.001667082009
40	0.589286	0.001491935019
40	0.625	0.001281431206
40	0.660714	0.001237279679
40	0.696429	0.001092939393
40	0.732143	0.001072095041
40	0.767857	0.001100610009
40	0.803571	0
40	0.839286	0
40	0.875	0
40	0.910714	0
40	0.946429	0

42	0.267857	0.0006111848792
42	0.303571	0.0009624684076
42	0.339286	0.001269668257
42	0.375	0.001540967477
42	0.410714	0.001734963401
42	0.446429	0.001863695015
42	0.482143	0.001912229279
42	0.517857	0.001784419664
42	0.553571	0.001667082009
42	0.589286	0.001491935019
42	0.625	0.001281431206
42	0.660714	0.001237279679
42	0.696429	0.001092939393
42	0.732143	0.001072095041
42	0.767857	0.001100610009
42	0.803571	0
42	0.839286	0
42	0.875	0
42	0.910714	0
42	0.946429	0

44	0.267857	0.0006111848792
44	0.303571	0.0009624684076
44	0.339286	0.001269668257
44	0.375	0.001540967477
44	0.410714	0.001734963401
44	0.446429	0.001863695015
44	0.482143	0.001912229279
44	0.517857	0.001784419664
44	0.553571	0.001667082009
44	0.589286	0.001491935019
44	0.625	0.001281431206
44	0.660714	0.001237279679
44	0.696429	0.001092939393
44	0.732143	0.001072095041
44	0.767857	0.001100610009
44	0.803571	0
44	0.839286	0
44	0.875	0
44	0.910714	0
44	0.946429	0

46	0.267857	0.0006111848792
46	0.303571	0.0009624684076
46	0.339286	0.001269668257
46	0.375	0.001540967477
46	0.410714	0.001734963401
46	0.446429	0.001863695015
46	0.482143	0.001912229279
46	0.517857	0.001784419664
46	0.553571	0.001667082009
46	0.589286	0.001491935019
46	0.625	0.001281431206
46	0.660714	0.001237279679
46	0.696429	0.001092939393
46	0.732143	0.001072095041
46	0.767857	0.001100610009
46	0.803571	0
46	0.839286	0
46	0.875	0
46	0.910714	0
46	0.946429	0

48	0.267857	0.0006111848792
48	0.303571	0.0009624684076
48	0.339286	0.001269668257
48	0.375	0.001540967477
48	0.410714	0.001734963401
48	0.446429	0.001863695015
48	0.482143	0.001912229279
48	0.517857	0.001784419664
48	0.553571	0.001667082009
48	0.589286	0.001491935019
48	0.625	0.001281431206
48	0.660714	0.001237279679
48	0.696429	0.001092939393
48	0.732143	0.001072095041
48	0.767857	0.001100610009
48	0.803571	0
48	0.839286	0
48	0.875	0
48	0.910714	0
48	0.946429	0

50	0.267857	0.0006111848792
50	0.303571	0.0009624684076
50	0.339286	0.001269668257
50	0.375	0.001540967477
50	0.410714	0.001734963401
50	0.446429	0.001863695015
50	0.482143	0.001912229279
50	0.517857	0.001784419664
50	0.553571	0.001667082009
50	0.589286	0.001491935019
50	0.625	0.001281431206
50	0.660714	0.001237279679
50	0.696429	0.001092939393
50	0.732143	0.001072095041
50	0.767857	0.001100610009
50	0.803571	0
50	0.839286	0
50	0.875	0
50	0.910714	0
50	0.946429	0

52	0.267857	0.0006111848792
52	0.303571	0.0009624684076
52	0.339286	0.001269668257
52	0.375	0.001540967477
52	0.410714	0.001734963401
52	0.446429	0.001863695015
52	0.482143	0.001912229279
52	0.517857	0.001784419664
52	0.553571	0.001667082009
52	0.589286	0.001491935019
52	0.625	0.001281431206
52	0.660714	0.001237279679
52	0.696429	0.001092939393
52	0.732143	0.001072095041
52	0.767857	0.001100610009
52	0.803571	0
52	0.839286	0
52	0.875	0
52	0.910714	0
52	0.946429	0

54	0.267857	0.0006111848792
54	0.303571	0.0009624684076
54	0.339286	0.001269668257
54	0.375	0.001540967477
54	0.410714	0.001734963401
54	0.446429	0.001863695015
54	0.482143	0.001912229279
54	0.517857	0.001784419664
54	0.553571	0.001667082009
54	0.589286	0.001491935019
54	0.625	0.001281431206
54	0.660714	0.001237279679
54	0.696429	0.001092939393
54	0.732143	0.001072095041
54	0.767857	0.001100610009
54	0.803571	0
54	0.839286	0
54	0.875	0
54	0.910714	0
54	0.946429	0

56	0.267857	0.0006111848792
56	0.303571	0.0009624684076
56	0.339286	0.001269668257
56	0.375	0.001540967477
56	0.410714	0.001734963401
56	0.446429	0.001863695015
56	0.482143	0.001912229279
56	0.517857	0.001784419664
56	0.553571	0.001667082009
56	0.589286	0.001491935019
56	0.625	0.001281431206
56	0.660714	0.001237279679
56	0.696429	0.001092939393
56	0.732143	0.001072095041
56	0.767857	0.001100610009
56	0.803571	0
56	0.839286	0
56	0.875	0
56	0.910714	0
56	0.946429	0

58	0.267857	0.0006111848792
58	0.303571	0.0009624684076
58	0.339286	0.001269668257
58	0.375	0.001540967477
58	0.410714	0.001734963401
58	0.446429	0.001863695015
58	0.482143	0.001912229279
58	0.517857	0.001784419664
58	0.553571	0.001667082009
58	0.589286	0.001491935019
58	0.625	0.001281431206
58	0.660714	0.001237279679
58	0.696429	0.001092939393
58	0.732143	0.001072095041
58	0.767857	0.001100610009
58	0.803571	0
58	0.839286	0
58	0.875	0
58	0.910714	0
58	0.946429	0

60	0.267857	0.0006111848792
60	0.303571	0.0009624684076
60	0.339286	0.001269668257
60	0.375	0.001540967477
60	0.410714	0.001734963401
60	0.446429	0.001863695015
60	0.482143	0.001912229279
60	0.517857	0.001784419664
60	0.553571	0.001667082009
60	0.589286	0.001491935019
60	0.625	0.001281431206
60	0.660714	0.001237279679
60	0.696429	0.001092939393
60	0.732143	0.001072095041
60	0.767857	0.001100610009
60	0.803571	0
60	0.839286	0
60	0.875	0
60	0.910714	0
60	0.946429	0

62	0.267857	0.0006111848792
62	0.303571	0.0009624684076
62	0.339286	0.001269668257
62	0.375	0.001540967477
62	0.410714	0.001734963401
62	0.446429	0.001863695015
62	0.482143	0.001912229279
62	0.517857	0.001784419664
62	0.553571	0.001667082009
62	0.589286	0.001491935019
62	0.625	0.001281431206
62	0.660714	0.001237279679
62	0.696429	0.001092939393
62	0.732143	0.001072095041
62	0.767857	0.001100610009
62	0.803571	0
62	0.839286	0
62	0.875	0
62	0.910714	0
62	0.946429	0

64	0.267857	0.0006111848792
64	0.303571	0.0009624684076
64	0.339286	0.001269668257
64	0.375	0.001540967477
64	0.410714	0.001734963401
64	0.446429	0.001863695015
64	0.482143	0.001912229279
64	0.517857	0.001784419664
64	0.553571	0.001667082009
64	0.589286	0.001491935019
64	0.625	0.001281431206
64	0.660714	0.001237279679
64	0.696429	0.001092939393
64	0.732143	0.001072095041
64	0.767857	0.001100610009
64	0.803571	0
64	0.839286	0
64	0.875	0
64	0.910714	0
64	0.946429	0

66	0.267857	0.0006111848792
66	0.303571	0.0009624684076
66	0.339286	0.001269668257
66	0.375	0.001540967477
66	0.410714	0.001734963401
66	0.446429	0.001863695015
66	0.482143	0.001912229279
66	0.517857	0.001784419664
