# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
36	0.589286	0.03460913506
36	0.625	0.02739108404
36	0.660714	0.0237221705
36	0.696429	0.01518483374
36	0.732143	0.009802639654
36	0.767857	0.004150563344
36	0.803571	0
36	0.839286	0
36	0.875	0
36	0.910714	0
36	0.946429	0

38	0.267857	0.01247539902
38	0.303571	0.02152188844
38	0.339286	0.02889897965
38	0.375	0.03521791114
38	0.410714	0.03986566953
38	0.446429	0.04311019811
38	0.482143	0.04458059803
38	0.517857	0.04224876685
38	0.553571	0.03944150076
38	0.589286	0.03460913506
38	0.625	0.02739108404
38	0.660714	0.0237221705
38	0.696429	0.01518483374
38	0.732143	0.009802639654
38	0.767857	0.004150563344
38	0.803571	0
38	0.839286	0
38	0.875	0
38	0.910714	0
38	0.946429	0

40	0.267857	0.01247539902
40	0.303571	0.02152188844
40	0.339286	0.02889897965
40	0.375	0.03521791114
40	0.410714	0.03986566953
40	0.446429	0.04311019811
40	0.482143	0.04458059803
40	0.517857	0.04224876685
40	0.553571	0.03944150076
40	0.589286	0.03460913506
40	0.625	0.02739108404
40	0.660714	0.0237221705
40	0.696429	0.01518483374
40	0.732143	0.009802639654
40	0.767857	0.004150563344
40	0.803571	0
40	0.839286	0
40	0.875	0
40	0.910714	0
40	0.946429	0

42	0.267857	0.01247539902
42	0.303571	0.02152188844
42	0.339286	0.02889897965
42	0.375	0.03521791114
42	0.410714	0.03986566953
42	0.446429	0.04311019811
42	0.482143	0.04458059803
42	0.517857	0.04224876685
42	0.553571	0.03944150076
42	0.589286	0.03460913506
42	0.625	0.02739108404
42	0.660714	0.0237221705
42	0.696429	0.01518483374
42	0.732143	0.009802639654
42	0.767857	0.004150563344
42	0.803571	0
42	0.839286	0
42	0.875	0
42	0.910714	0
42	0.946429	0

44	0.267857	0.01247539902
44	0.303571	0.02152188844
44	0.339286	0.02889897965
44	0.375	0.03521791114
44	0.410714	0.03986566953
44	0.446429	0.04311019811
44	0.482143	0.04458059803
44	0.517857	0.04224876685
44	0.553571	0.03944150076
44	0.589286	0.03460913506
44	0.625	0.02739108404
44	0.660714	0.0237221705
44	0.696429	0.01518483374
44	0.732143	0.009802639654
44	0.767857	0.004150563344
44	0.803571	0
44	0.839286	0
44	0.875	0
44	0.910714	0
44	0.946429	0

46	0.267857	0.01247539902
46	0.303571	0.02152188844
46	0.339286	0.02889897965
46	0.375	0.03521791114
46	0.410714	0.03986566953
46	0.446429	0.04311019811
46	0.482143	0.04458059803
46	0.517857	0.04224876685
46	0.553571	0.03944150076
46	0.589286	0.03460913506
46	0.625	0.02739108404
46	0.660714	0.0237221705
46	0.696429	0.01518483374
46	0.732143	0.009802639654
46	0.767857	0.004150563344
46	0.803571	0
46	0.839286	0
46	0.875	0
46	0.910714	0
46	0.946429	0

48	0.267857	0.01247539902
48	0.303571	0.02152188844
48	0.339286	0.02889897965
48	0.375	0.03521791114
48	0.410714	0.03986566953
48	0.446429	0.04311019811
48	0.482143	0.04458059803
48	0.517857	0.04224876685
48	0.553571	0.03944150076
48	0.589286	0.03460913506
48	0.625	0.02739108404
